tipo,#,PMG,participacao_municipal,patrimonio_liquido,resultados_liquidos,dividas_a_pagar,financiamento_e_outros,indice_divida_total,dividas_a_receber,#_trabalhadores_2020,#_habitantes
EM,,"Espaço Municipal - Renov. Urb.e Gestão
Patrim.",100%,14655636,1627,1382257,2938748,-,1647309,-,-
EM,,Maiambiente,100%,3609916,3029,0,2799145,-,3684892,-,-
CM,P,Mangualde,-,61155703,196080,4883989,3493756,"52,6%",4448470,328,18303
CM,P,Manteigas,-,25832518,-463502,2150465,577370,"51,3%",1283994,61,2909
EIM SA,,"Parkurbis, Parque de Ciência e Tecn. Covilhã","0,2%",1943164,-53346,1655675,387097,-,395548,-,-
CM,M,Marco de Canaveses,-,74148384,1857128,18206890,4345712,"83,3%",1508455,590,49546
CM,M,Marinha Grande,-,124265994,1107555,131451,2480952,"6,9%",3357345,266,39032
EM SA,,TUMG - Transportes Urbanos,100%,637920,3980,156689,198195,-,244873,-,-
CM,P,Marvão,-,30424360,-1326716,431294,610553,"20,0%",819656,137,3021
CM,G,Matosinhos,-,676249841,3408352,41933290,18004262,"47,7%",48226128,1997,172586
EM,,Matosinhoshabit - Habitação de Matosinhos,100%,823700,282538,6933,414084,-,361530,-,-
EM SA,,MS Matosinhos Sport,100%,281502,-2393,0,1227756,-,223874,-,-
CM,P,Mealhada,-,83809944,-295219,0,2010768,"10,4%",6847561,316,19355
CM,P,Mêda,-,29408621,195999,2945108,1386694,"56,6%",2013703,163,4633
CM,P,Melgaço,-,62779581,109788,3524574,7488388,"96,6%",2882266,280,7773
EM,,Cura AquaeTermas de Melgaço,51%,1709693,-509,901868,478081,-,28684,-,-
EM,,Melsport - Melgaço Desporto e Lazer,100%,10263238,-98592,0,439590,-,460463,-,-
SA,,Quintas de Melgaço,63%,si,si,si,si,,si,,
CM,P,Mértola,-,65936011,992892,2362656,1307373,"28,1%",1030805,273,6208
CM,P,Mesão Frio,-,14531807,144975,3989322,1449339,"119,4%",835073,172,3548
CM,P,Mira,-,111467477,-18178,2031141,3419745,"47,2%",6297956,205,12114
EIM SA,,ABMG - Águas do Baixo Mondego e Gândara,33%,8708521,-325268,1817291,4905671,-,5211059,-,-
CM,P,Miranda do Corvo,-,60856546,-997616,842440,2750616,"32,4%",1530420,172,12005
CM,P,Miranda do Douro,-,43810447,-1529748,2425276,1319387,"31,4%",2744854,182,6464
CM,M,Mirandela,-,50223837,-2537059,7558219,6237857,"63,6%",1418023,385,21394
EIM SA,,AIN - AgroIndustrial do Nordeste,49%,3612601,-216903,434734,572266,-,1986110,-,-
SA,,Metropolitano Ligeiro de Mirandela,90%,-1567532,3021,0,1839995,-,1908,-,-
CM,P,Mogadouro,-,67545554,-1728603,216506,1482863,"7,9%",215946,188,8301
CM,P,Moimenta da Beira,-,43330716,492568,758027,2823410,"37,2%",2736704,127,9410
CM,M,Moita,-,164430279,-2378664,3292341,5128524,"22,4%",8824685,705,66262
CM,P,Monção,-,52449780,-1612854,5046512,6200711,"69,5%",339573,313,17818
EM,,Matadouro Regional de Monção,100%,si,si,si,si,,si,,
CM,P,Monchique,-,43278242,-1719448,0,1479221,"14,6%",1260688,231,5462
CM,P,Mondim de Basto,-,37753810,567845,2644969,1198859,"42,7%",1523170,140,6410
CM,P,Monforte,-,15173489,-595235,2849627,1223039,"78,1%",544493,177,2992
CM,P,Montalegre,-,84064904,-1870696,2565549,1912890,"22,4%",5665221,268,9261
CM,P,Montemor-o-Novo,-,52527934,190122,676357,4519862,"29,6%",2988790,348,15804
CM,M,Montemor-o-Velho,-,97646357,-828799,10345954,3175332,"82,1%",5992891,294,24574
EIM SA,,ABMG - Águas do Baixo Mondego e Gândara,33%,8708521,-325268,1817291,4905671,-,5211059,-,-
CM,M,Montijo,-,256446555,1392147,3377719,4212829,"21,3%",11843608,965,55689
SMAS,,SMAS do Montijo,100%,21794543,-562292,0,1338443,-,1569674,98,-
CM,P,Mora,-,27347421,216290,938197,1471285,"37,5%",1696748,155,4135
CM,P,Mortágua,-,52366224,-899527,1107371,1029616,"23,8%",6934368,146,8965
CM,P,Moura,-,128969926,-2403651,3682562,4001297,"53,5%",2276187,363,13259
EM,,Herdade da Contenda,100%,568139,147430,100000,256834,-,93516,-,-
EM SA,,Logica - Sociedade Gestora do Tecnológico,79%,1983226,37964,240000,52527,-,69936,-,-
CM,P,Mourão,-,10874007,-217131,5210156,1087047,"118,4%",497761,165,2351
CM,P,Murça,-,31335724,48675,1277257,2866841,"56,5%",4540968,109,5245
CM,P,Murtosa,-,72586030,-225295,505040,924279,"14,4%",1688057,73,10478
CM,P,Nazaré,-,20883133,883831,30990150,1921364,"258,5%",3271681,239,14885
EM,,Nazaré Qualifica,100%,37718,3851,337782,349885,-,91918,-,-
SM,,SM de Nazaré,100%,3548952,-806940,300000,2915426,-,882501,106,-
CM,P,Nelas,-,27920200,-1576288,9688334,4320352,"140,5%",7474820,225,13121
CM,P,Nisa,-,48997588,371471,1540307,1312729,"25,8%",1015633,215,5954
CM,P,Nordeste,-,58521991,-30285,13280677,399849,"266,7%",572180,63,4369
EM SA,,Nordeste Activo,100%,831175,589,1682938,420337,-,163063,-,-
CM,P,Óbidos,-,80598939,332047,3153063,2060792,"34,5%",4341811,254,11924
EM,,Óbidos Criativa,100%,1734051,22445,0,189908,-,690295,-,-
CM,M,Odemira,-,92636713,2396231,2763368,4022412,"21,1%",5071528,464,29576
CM,G,Odivelas,-,334922241,2797993,13959637,12715048,"31,6%",32155737,1420,148058
SMAS,,SIMAR de Loures e Odivelas,100%,39432419,-5368593,374113,14796932,-,12364226,911,-
CM,G,Oeiras,-,649357466,-18742605,7801771,20296918,"12,8%",14793408,2707,171767
SIMAR,,SIMAS de Oeiras e Amadora,100%,206602531,1399258,0,14236125,-,19138532,445,-
EEM,,Oeiras VivaGestão Equip. Sócio Cult. e Desp.,100%,870055,-163175,0,650329,-,198963,-,-
EM SA,,Parques Tejo - Parqueamentos de Oeiras,100%,4760736,-429729,0,687952,-,116768,-,-
CM,P,Oleiros,-,34639723,-5651795,2920314,1360850,"48,0%",1357353,135,4905
